Dialogueacts_level1,Dialogueacts_level2,Dialogueacts_level3,Dialogueacts_level4,Dialogueacts_level5,slot0,slot1,slot2,slot3,slot4,slot5
Answer.positive,Answer.elaboration,Answer.continuation,Answer.elaboration,,"I cry every time I see ""It's a Wonderful Life"" even in front of my kids.","I've got to admit, I also teared up during that flick. There's no shame in crying during that movie. It could melt the heart of the hardest man.","That's part of what makes it work, you see Jimmy Stewart feeling like he has to take so many responsibilities onto himself, he feels like he has to the man for everybody else.",Exactly. He is such a relatable character in so many ways. Anyone with kids or a hard job or a town bully could sympathize.,"Some of the romance stuff is a little hokey, though, you probably actually need to be Jimmy Stewart to make some of those lines work.",
Answer.negative,Answer.elaboration,Answer.continuation,Answer.elaboration,,"I cry every time I see ""It's a Wonderful Life"" even in front of my kids.","Movies are so emotionally manipulative, it's usually better to not let them get under your skin.",It's such a surprisingly human movie even if it is manipulating me.,I know. Gregory Peck is such a good actor. He is so real and human. Things were so different and seemingly wholesome then.,"Wait, Gregory Peck? Are you thinking of To Kill a Mockingbird?",
Answer.negative,Answer.continuation,Answer.change,,,"I cry every time I see ""It's a Wonderful Life"" even in front of my kids.","Movies are so emotionally manipulative, it's usually better to not let them get under your skin.",It's good tears. I love a good cry every now and again. It clears you up.,"the sort of almost all knowing spiritual guides in movies always get me. An angel, some kind of higher being guiding the main person. Where they learn and do not  even know it, you know?",,
Answer.positive,Answer.continuation,Answer.elaboration,,,"I cry every time I see ""It's a Wonderful Life"" even in front of my kids.","I've got to admit, I also teared up during that flick. There's no shame in crying during that movie. It could melt the heart of the hardest man.","Yeah, it really takes you to low lows, but then when everybody comes together at the end it really gets you.","It's a little hokey at the end, but they make you care so much about these people that you're willing to accept it because that's the way things ought to work.",,
Answer.positive,Answer.continuation,Answer.joking_sarcastic,Answer.elaboration,,"I cry every time I see ""It's a Wonderful Life"" even in front of my kids.","I've got to admit, I also teared up during that flick. There's no shame in crying during that movie. It could melt the heart of the hardest man.","Yeah, it really takes you to low lows, but then when everybody comes together at the end it really gets you.","The should probably fire Uncle Billy from the Building and Loan, though, he's kind of terrible at taking care of money.","Around that time it was pretty popular to either show German types as scary, hard bad guys, or more bumbling but sweet bafoons, maybe something to do with the war. Real turn on German, Austrian and so on tropes.",
Answer.positive,Answer.elaboration,Answer.elaboration,Answer.joking_sarcastic,,"I cry every time I see ""It's a Wonderful Life"" even in front of my kids.",It's good for kids to see that adults have a whole range of emotions.,"Yeah, that makes sense, it's easy to think that everything for kids should be fun and happy, but I guess they also need to learn that there's other parts of being a grown up.","If you think about it, being able to protect kids from tough emotions is a pretty modern thing. In older times kids would have had more experience with hardship and death, because families were bigger and health wasn't as good.",Can I have some oar classic film please?,
Answer.positive,Answer.continuation,Answer.continuation,Answer.change,,"I cry every time I see ""It's a Wonderful Life"" even in front of my kids.",It's good for kids to see that adults have a whole range of emotions.,"I guess that's true, to understand that it's OK to feel how they feel, and not bottle everything up.",It is good that children see that emotions are not off limits,"I have a hard time getting them to watch anyway, they see it's in black and white and they just roll their eyes.",
Answer.positive,Answer.continuation,Answer.elaboration,Answer.elaboration,,"I cry every time I see ""It's a Wonderful Life"" even in front of my kids.",It's good for kids to see that adults have a whole range of emotions.,"I guess that's true, to understand that it's OK to feel how they feel, and not bottle everything up.",Especially because those really big emotions when they run into them are sort of terrifyoing if they think the emotions ar weird or unusual in others.,"If you get the right movie, some movies are just too emotional for kids to watch. Period. Sometimes, even shows aimed for kids are just too emotional for younger kids, too much emotion too strongly.",
Answer.positive,Answer.continuation,Answer.elaboration,Answer.continuation,,"I cry every time I see ""It's a Wonderful Life"" even in front of my kids.",It's good for kids to see that adults have a whole range of emotions.,"I guess that's true, to understand that it's OK to feel how they feel, and not bottle everything up.",Especially because those really big emotions when they run into them are sort of terrifyoing if they think the emotions ar weird or unusual in others.,"I think movies are a good outlet to express emotions for everyone. To sort of ease into emotions, to help you understand what you feel. Especially kids, to lessen the blow a bit of real emotions.",
Answer.positive,Answer.elaboration,Answer.elaboration,Answer.change,,"I cry every time I see ""It's a Wonderful Life"" even in front of my kids.",It's good for kids to see that adults have a whole range of emotions.,"Yeah, that makes sense, it's easy to think that everything for kids should be fun and happy, but I guess they also need to learn that there's other parts of being a grown up.","If you think about it, being able to protect kids from tough emotions is a pretty modern thing. In older times kids would have had more experience with hardship and death, because families were bigger and health wasn't as good.","The whole orphan thing was a big deal, super rags to riches, but in a child way. Oliver Twist, Orhan Annie. Kids needed hope then, so did adults.",
Answer.positive,Answer.continuation,Answer.elaboration,,,"I cry every time I see ""It's a Wonderful Life"" even in front of my kids.",It's good for kids to see that adults have a whole range of emotions.,"I guess that's true, to understand that it's OK to feel how they feel, and not bottle everything up.",Especially because those really big emotions when they run into them are sort of terrifyoing if they think the emotions ar weird or unusual in others.,,
Answer.positive,Answer.continuation,Answer.joking_sarcastic,,,"I cry every time I see ""It's a Wonderful Life"" even in front of my kids.",It's good for kids to see that adults have a whole range of emotions.,"I guess that's true, to understand that it's OK to feel how they feel, and not bottle everything up.","Sure, let them know that the parent is kind of dorky.",,
Answer.positive,Answer.continuation,Answer.change,Answer.elaboration,,"I cry every time I see ""It's a Wonderful Life"" even in front of my kids.",It's good for kids to see that adults have a whole range of emotions.,"I guess that's true, to understand that it's OK to feel how they feel, and not bottle everything up.",It would not be good to cry when you are watching a Schwarzenegger action movie.,I suppose those are for the parts of the emotional spectrum that It's a Wonderful Life doesn't cover.,
Answer.positive,Answer.elaboration,Answer.continuation,Answer.elaboration,,"I cry every time I see ""It's a Wonderful Life"" even in front of my kids.",It's good for kids to see that adults have a whole range of emotions.,"Yeah, that makes sense, it's easy to think that everything for kids should be fun and happy, but I guess they also need to learn that there's other parts of being a grown up.","Yeah. It's also good for kids to learn that it's valuable to be able to explore powerful emotions in fiction, it's not all about spectacle or crazy stories.","So many stories that are targeted at kids are so shallow, it's a wonder anybody ever develops more sophisticated tastes.",
Answer.positive,Answer.continuation,Answer.joking_sarcastic,,,"I cry every time I see ""It's a Wonderful Life"" even in front of my kids.","I've got to admit, I also teared up during that flick. There's no shame in crying during that movie. It could melt the heart of the hardest man.","Yeah, it really takes you to low lows, but then when everybody comes together at the end it really gets you.","The should probably fire Uncle Billy from the Building and Loan, though, he's kind of terrible at taking care of money.",,
Answer.positive,Answer.continuation,Answer.elaboration,Answer.change,,"I cry every time I see ""It's a Wonderful Life"" even in front of my kids.","I've got to admit, I also teared up during that flick. There's no shame in crying during that movie. It could melt the heart of the hardest man.","Yeah, it really takes you to low lows, but then when everybody comes together at the end it really gets you.","It's a little hokey at the end, but they make you care so much about these people that you're willing to accept it because that's the way things ought to work.","Is there a better movie for the time period with that kind of message, that kind of creativity and vision in the storyline? Maybe Wizard of Oz, maybe...but I think this movie takes the crown.",
Answer.negative,Answer.elaboration,Answer.continuation,Answer.change,,"I cry every time I see ""It's a Wonderful Life"" even in front of my kids.","Movies are so emotionally manipulative, it's usually better to not let them get under your skin.",It's such a surprisingly human movie even if it is manipulating me.,I know. Gregory Peck is such a good actor. He is so real and human. Things were so different and seemingly wholesome then.,"It's strange, because older movies tend to feel like they're set in a specific time period, but a lot of them were just contemporary for the time they were made.",
Answer.negative,Answer.elaboration,Answer.continuation,,,"I cry every time I see ""It's a Wonderful Life"" even in front of my kids.","Movies are so emotionally manipulative, it's usually better to not let them get under your skin.",It's such a surprisingly human movie even if it is manipulating me.,I know. Gregory Peck is such a good actor. He is so real and human. Things were so different and seemingly wholesome then.,,
Answer.negative,Answer.elaboration,Answer.elaboration,Answer.change,,"I cry every time I see ""It's a Wonderful Life"" even in front of my kids.","Movies are so emotionally manipulative, it's usually better to not let them get under your skin.",It's such a surprisingly human movie even if it is manipulating me.,"It's such a great Christmas movie, too! There is such a family element to it.",Family holiday movies are awesome. I really like watching Groundhog Day in the winter with my family too.,
Answer.positive,Answer.elaboration,,,,"I cry every time I see ""It's a Wonderful Life"" even in front of my kids.","I've got to admit, I also teared up during that flick. There's no shame in crying during that movie. It could melt the heart of the hardest man.","That's part of what makes it work, you see Jimmy Stewart feeling like he has to take so many responsibilities onto himself, he feels like he has to the man for everybody else.",,,
Answer.positive,Answer.continuation,Answer.change,,,"I cry every time I see ""It's a Wonderful Life"" even in front of my kids.",It's good for kids to see that adults have a whole range of emotions.,"I guess that's true, to understand that it's OK to feel how they feel, and not bottle everything up.",It would not be good to cry when you are watching a Schwarzenegger action movie.,,
Answer.positive,Answer.continuation,Answer.elaboration,Answer.continuation,,"I cry every time I see ""It's a Wonderful Life"" even in front of my kids.","I've got to admit, I also teared up during that flick. There's no shame in crying during that movie. It could melt the heart of the hardest man.","Yeah, it really takes you to low lows, but then when everybody comes together at the end it really gets you.","It's a little hokey at the end, but they make you care so much about these people that you're willing to accept it because that's the way things ought to work.","They had quite the vision whoever produced that movie. Its one of those movies that are just timeless. It couldn't be made over again, there is no need to try to alter perfection.",
Answer.negative,Answer.continuation,Answer.elaboration,Answer.change,,"I cry every time I see ""It's a Wonderful Life"" even in front of my kids.","Movies are so emotionally manipulative, it's usually better to not let them get under your skin.",It's good tears. I love a good cry every now and again. It clears you up.,"I think it really worked. Since you got to see his cute little life, to an extent first, then the sort of darkness his being not born got. The angel really did it for me though, he always had something wise and funny to say, broke the movie up in to a bit of humor too.","Vampire movies are a whole other ball game of emotions. The are so macabre, but sometimes they pull you in just enough to care, then book more death and sorrow, no real let up.",
Answer.negative,Answer.continuation,Answer.continuation,,,"I cry every time I see ""It's a Wonderful Life"" even in front of my kids.","Movies are so emotionally manipulative, it's usually better to not let them get under your skin.",It's good tears. I love a good cry every now and again. It clears you up.,"I always like the whole looking back at their life movies, when they think it is worthless trope. There is always room to learn something and even room for a few good jokes regarding what might have been. I liked seeing what the world would of been like without him and then how it was with him. It's the best movie to watch if you need to have a good cry.",,
Answer.negative,,,,,"I cry every time I see ""It's a Wonderful Life"" even in front of my kids.","Movies are so emotionally manipulative, it's usually better to not let them get under your skin.",,,,
Answer.negative,Answer.continuation,Answer.continuation,Answer.continuation,,"I cry every time I see ""It's a Wonderful Life"" even in front of my kids.","Movies are so emotionally manipulative, it's usually better to not let them get under your skin.",It's good tears. I love a good cry every now and again. It clears you up.,"I always like the whole looking back at their life movies, when they think it is worthless trope. There is always room to learn something and even room for a few good jokes regarding what might have been. I liked seeing what the world would of been like without him and then how it was with him. It's the best movie to watch if you need to have a good cry.","Anytime a movie makes me reflect on my self, and cry, I think it is a classic.",
Answer.negative,Answer.elaboration,,,,"I cry every time I see ""It's a Wonderful Life"" even in front of my kids.","Movies are so emotionally manipulative, it's usually better to not let them get under your skin.",It's such a surprisingly human movie even if it is manipulating me.,,,
Answer.negative,Answer.continuation,Answer.joking_sarcastic,Answer.elaboration,,"I cry every time I see ""It's a Wonderful Life"" even in front of my kids.","Movies are so emotionally manipulative, it's usually better to not let them get under your skin.",It's good tears. I love a good cry every now and again. It clears you up.,"If an angel really did get his wings every time a bell rings, rich people calling for butlers would have a lot of celestial fans.","I like the angel trope too. The movie Down to Earth always gets me, funny and moving.",
Answer.negative,Answer.continuation,Answer.elaboration,Answer.elaboration,,"I cry every time I see ""It's a Wonderful Life"" even in front of my kids.","Movies are so emotionally manipulative, it's usually better to not let them get under your skin.",It's good tears. I love a good cry every now and again. It clears you up.,"I think it really worked. Since you got to see his cute little life, to an extent first, then the sort of darkness his being not born got. The angel really did it for me though, he always had something wise and funny to say, broke the movie up in to a bit of humor too.","As long as the journey is paced, some shows just go from dull, to sad, to sadder before I really care for the people in the plot. Too gothic too fast.",
Answer.negative,Answer.continuation,Answer.joking_sarcastic,,,"I cry every time I see ""It's a Wonderful Life"" even in front of my kids.","Movies are so emotionally manipulative, it's usually better to not let them get under your skin.",It's good tears. I love a good cry every now and again. It clears you up.,"If an angel really did get his wings every time a bell rings, rich people calling for butlers would have a lot of celestial fans.",,
Answer.negative,Answer.elaboration,Answer.change,Answer.joking_sarcastic,,"I cry every time I see ""It's a Wonderful Life"" even in front of my kids.","Movies are so emotionally manipulative, it's usually better to not let them get under your skin.",It's such a surprisingly human movie even if it is manipulating me.,That movie kind of reminds me of Casablanca. The movies were made around the same time.,I can't believe you've watched Casablanca! That movie is awful.,
Answer.negative,Answer.elaboration,Answer.change,Answer.continuation,,"I cry every time I see ""It's a Wonderful Life"" even in front of my kids.","Movies are so emotionally manipulative, it's usually better to not let them get under your skin.",It's such a surprisingly human movie even if it is manipulating me.,That movie kind of reminds me of Casablanca. The movies were made around the same time.,"Casablanca makes me cry too. I try not to, but I can't help it! I just find the movie to be so relatable!",
Answer.negative,Answer.elaboration,Answer.elaboration,Answer.joking_sarcastic,,"I cry every time I see ""It's a Wonderful Life"" even in front of my kids.","Movies are so emotionally manipulative, it's usually better to not let them get under your skin.",It's such a surprisingly human movie even if it is manipulating me.,"It's such a great Christmas movie, too! There is such a family element to it.",It's the only good thing about Christmas for me. Watching it is better than stuffing myself with food!,
Answer.negative,Answer.change,Answer.change,,,"I cry every time I see ""It's a Wonderful Life"" even in front of my kids.","Movies are so emotionally manipulative, it's usually better to not let them get under your skin.",That and Citizen Kane are the only movies of that era I can still watch. Have you seen Citizen?,"Okay but wait, why do you let movies make you cry? I mean seriously it's all fake.",,
Answer.negative,Answer.elaboration,Answer.change,Answer.elaboration,,"I cry every time I see ""It's a Wonderful Life"" even in front of my kids.","Movies are so emotionally manipulative, it's usually better to not let them get under your skin.",It's such a surprisingly human movie even if it is manipulating me.,That movie kind of reminds me of Casablanca. The movies were made around the same time.,Movies from that time period have several similarities. I noticed quite a few.,
Answer.negative,Answer.elaboration,Answer.change,Answer.change,,"I cry every time I see ""It's a Wonderful Life"" even in front of my kids.","Movies are so emotionally manipulative, it's usually better to not let them get under your skin.",It's such a surprisingly human movie even if it is manipulating me.,That movie kind of reminds me of Casablanca. The movies were made around the same time.,What's your favorite movie?,
Answer.negative,Answer.continuation,Answer.joking_sarcastic,Answer.continuation,,"I cry every time I see ""It's a Wonderful Life"" even in front of my kids.","Movies are so emotionally manipulative, it's usually better to not let them get under your skin.",It's good tears. I love a good cry every now and again. It clears you up.,"If an angel really did get his wings every time a bell rings, rich people calling for butlers would have a lot of celestial fans.",I love emotional films. Especially ones that can add a bit of humor.,
Answer.negative,Answer.continuation,Answer.continuation,Answer.joking_sarcastic,,"I cry every time I see ""It's a Wonderful Life"" even in front of my kids.","Movies are so emotionally manipulative, it's usually better to not let them get under your skin.",It's good tears. I love a good cry every now and again. It clears you up.,"I always like the whole looking back at their life movies, when they think it is worthless trope. There is always room to learn something and even room for a few good jokes regarding what might have been. I liked seeing what the world would of been like without him and then how it was with him. It's the best movie to watch if you need to have a good cry.","If you say Rosebud with you last breathe, I will know why.",
Answer.negative,Answer.continuation,Answer.change,Answer.change,,"I cry every time I see ""It's a Wonderful Life"" even in front of my kids.","Movies are so emotionally manipulative, it's usually better to not let them get under your skin.",It's good tears. I love a good cry every now and again. It clears you up.,"the sort of almost all knowing spiritual guides in movies always get me. An angel, some kind of higher being guiding the main person. Where they learn and do not  even know it, you know?","Exactly. I like stories that lean so far out into left field they some how seem to make more sense, in the sense they are non-sense, you know? Like just crazy enough to work.",
Answer.negative,Answer.continuation,Answer.change,Answer.joking_sarcastic,,"I cry every time I see ""It's a Wonderful Life"" even in front of my kids.","Movies are so emotionally manipulative, it's usually better to not let them get under your skin.",It's good tears. I love a good cry every now and again. It clears you up.,"the sort of almost all knowing spiritual guides in movies always get me. An angel, some kind of higher being guiding the main person. Where they learn and do not  even know it, you know?",Like the meaning of life being 42? Hitchikers guide to the Galaxy.,
Answer.positive,Answer.elaboration,Answer.change,Answer.joking_sarcastic,,"I cry every time I see ""It's a Wonderful Life"" even in front of my kids.","I've got to admit, I also teared up during that flick. There's no shame in crying during that movie. It could melt the heart of the hardest man.","That's part of what makes it work, you see Jimmy Stewart feeling like he has to take so many responsibilities onto himself, he feels like he has to the man for everybody else.","You really do see him doing so much for his family in that movie. Gift of The Magi is another Christmas movie I enjoy, where the main characters try really hard to provide for each other but can't seem to.",If they ever do a modern Gift of the Magi reboot they could get M. Night Shyamalan to direct. What a twist!,
Answer.positive,Answer.elaboration,Answer.elaboration,Answer.continuation,,"I cry every time I see ""It's a Wonderful Life"" even in front of my kids.","I've got to admit, I also teared up during that flick. There's no shame in crying during that movie. It could melt the heart of the hardest man.","That's part of what makes it work, you see Jimmy Stewart feeling like he has to take so many responsibilities onto himself, he feels like he has to the man for everybody else.","Yes, I think one of the main reasons It's A Wonderful Life is so loved is that everyone can relate to the struggles of the main characters in some way. We see redemption for Jimmy Stewart, we can see redemption for ourselves and see that our lives are wonderful too.","Yeah. Although, to be honest, if I was having a hard time I doubt my entire town would show up to rally around me.",
Answer.positive,Answer.elaboration,Answer.joking_sarcastic,,,"I cry every time I see ""It's a Wonderful Life"" even in front of my kids.","I've got to admit, I also teared up during that flick. There's no shame in crying during that movie. It could melt the heart of the hardest man.","That's part of what makes it work, you see Jimmy Stewart feeling like he has to take so many responsibilities onto himself, he feels like he has to the man for everybody else.",And then he has to go up against Mr. Potter- he'd put Ebenezer Scrooge to shame. His name must top the naughty list every year.,,
Answer.positive,Answer.elaboration,Answer.change,Answer.change,,"I cry every time I see ""It's a Wonderful Life"" even in front of my kids.","I've got to admit, I also teared up during that flick. There's no shame in crying during that movie. It could melt the heart of the hardest man.","That's part of what makes it work, you see Jimmy Stewart feeling like he has to take so many responsibilities onto himself, he feels like he has to the man for everybody else.","You really do see him doing so much for his family in that movie. Gift of The Magi is another Christmas movie I enjoy, where the main characters try really hard to provide for each other but can't seem to.","Jimmy Stewart is also good in Double Indemnity, but that's a much darker movie.",
Answer.positive,Answer.elaboration,Answer.change,,,"I cry every time I see ""It's a Wonderful Life"" even in front of my kids.","I've got to admit, I also teared up during that flick. There's no shame in crying during that movie. It could melt the heart of the hardest man.","That's part of what makes it work, you see Jimmy Stewart feeling like he has to take so many responsibilities onto himself, he feels like he has to the man for everybody else.","You really do see him doing so much for his family in that movie. Gift of The Magi is another Christmas movie I enjoy, where the main characters try really hard to provide for each other but can't seem to.",,
Answer.positive,Answer.elaboration,Answer.elaboration,,,"I cry every time I see ""It's a Wonderful Life"" even in front of my kids.","I've got to admit, I also teared up during that flick. There's no shame in crying during that movie. It could melt the heart of the hardest man.","That's part of what makes it work, you see Jimmy Stewart feeling like he has to take so many responsibilities onto himself, he feels like he has to the man for everybody else.","Yes, I think one of the main reasons It's A Wonderful Life is so loved is that everyone can relate to the struggles of the main characters in some way. We see redemption for Jimmy Stewart, we can see redemption for ourselves and see that our lives are wonderful too.",,
Answer.positive,Answer.elaboration,Answer.elaboration,Answer.elaboration,,"I cry every time I see ""It's a Wonderful Life"" even in front of my kids.","I've got to admit, I also teared up during that flick. There's no shame in crying during that movie. It could melt the heart of the hardest man.","That's part of what makes it work, you see Jimmy Stewart feeling like he has to take so many responsibilities onto himself, he feels like he has to the man for everybody else.","Yes, I think one of the main reasons It's A Wonderful Life is so loved is that everyone can relate to the struggles of the main characters in some way. We see redemption for Jimmy Stewart, we can see redemption for ourselves and see that our lives are wonderful too.","I guess so. But some people are actually pretty terrible, manipulating and using people all the time. I wonder if watching it makes people like that feel bad about themselves.",
Answer.positive,Answer.elaboration,Answer.elaboration,Answer.joking_sarcastic,,"I cry every time I see ""It's a Wonderful Life"" even in front of my kids.","I've got to admit, I also teared up during that flick. There's no shame in crying during that movie. It could melt the heart of the hardest man.","That's part of what makes it work, you see Jimmy Stewart feeling like he has to take so many responsibilities onto himself, he feels like he has to the man for everybody else.","Yes, I think one of the main reasons It's A Wonderful Life is so loved is that everyone can relate to the struggles of the main characters in some way. We see redemption for Jimmy Stewart, we can see redemption for ourselves and see that our lives are wonderful too.","Yeah, although maybe the sketchy banking situation in Bedford Falls should have been the canary in the coal mine for the whole subprime mortgage crisis.",
Answer.positive,Answer.elaboration,Answer.continuation,Answer.continuation,,"I cry every time I see ""It's a Wonderful Life"" even in front of my kids.","I've got to admit, I also teared up during that flick. There's no shame in crying during that movie. It could melt the heart of the hardest man.","That's part of what makes it work, you see Jimmy Stewart feeling like he has to take so many responsibilities onto himself, he feels like he has to the man for everybody else.",Exactly. He is such a relatable character in so many ways. Anyone with kids or a hard job or a town bully could sympathize.,"Yeah, there are so many points where they build it up so he almost gets what he wants and then the rug gets pulled out from under him, you just know exactly how you would feel in the same situation.",
Answer.positive,Answer.joking_sarcastic,,,,"I cry every time I see ""It's a Wonderful Life"" even in front of my kids.","I've got to admit, I also teared up during that flick. There's no shame in crying during that movie. It could melt the heart of the hardest man.",Not Mr. Potter!,,,
Answer.negative,Answer.continuation,Answer.elaboration,Answer.continuation,,"I cry every time I see ""It's a Wonderful Life"" even in front of my kids.","Movies are so emotionally manipulative, it's usually better to not let them get under your skin.",It's good tears. I love a good cry every now and again. It clears you up.,"I think it really worked. Since you got to see his cute little life, to an extent first, then the sort of darkness his being not born got. The angel really did it for me though, he always had something wise and funny to say, broke the movie up in to a bit of humor too.","Crying, laughing, angels, I love stuff that takes me on a journey of emotions.",
Answer.negative,Answer.continuation,Answer.elaboration,Answer.joking_sarcastic,,"I cry every time I see ""It's a Wonderful Life"" even in front of my kids.","Movies are so emotionally manipulative, it's usually better to not let them get under your skin.",It's good tears. I love a good cry every now and again. It clears you up.,"I think it really worked. Since you got to see his cute little life, to an extent first, then the sort of darkness his being not born got. The angel really did it for me though, he always had something wise and funny to say, broke the movie up in to a bit of humor too.","So, you were not emotionally involved in Edward being dead, before the show even began.",
Answer.negative,Answer.continuation,Answer.continuation,Answer.elaboration,,"I cry every time I see ""It's a Wonderful Life"" even in front of my kids.","Movies are so emotionally manipulative, it's usually better to not let them get under your skin.",It's good tears. I love a good cry every now and again. It clears you up.,"I always like the whole looking back at their life movies, when they think it is worthless trope. There is always room to learn something and even room for a few good jokes regarding what might have been. I liked seeing what the world would of been like without him and then how it was with him. It's the best movie to watch if you need to have a good cry.","There are a lot of older films that really pull the emotion out for me, Like citizen Kane.",
Answer.negative,Answer.continuation,Answer.joking_sarcastic,Answer.joking_sarcastic,,"I cry every time I see ""It's a Wonderful Life"" even in front of my kids.","Movies are so emotionally manipulative, it's usually better to not let them get under your skin.",It's good tears. I love a good cry every now and again. It clears you up.,"If an angel really did get his wings every time a bell rings, rich people calling for butlers would have a lot of celestial fans.","I am pretty sure the main guy in that show wished he would of been moving a bit faster, since he ended up in another guys body.",
Answer.negative,Answer.continuation,Answer.continuation,Answer.change,,"I cry every time I see ""It's a Wonderful Life"" even in front of my kids.","Movies are so emotionally manipulative, it's usually better to not let them get under your skin.",It's good tears. I love a good cry every now and again. It clears you up.,"I always like the whole looking back at their life movies, when they think it is worthless trope. There is always room to learn something and even room for a few good jokes regarding what might have been. I liked seeing what the world would of been like without him and then how it was with him. It's the best movie to watch if you need to have a good cry.","It really plays the rags to riches, but not really happiness trope too. Like money can't really buy you happiness, in a weird way similar to Mr.Deed,",
Answer.positive,Answer.elaboration,Answer.change,Answer.elaboration,,"I cry every time I see ""It's a Wonderful Life"" even in front of my kids.","I've got to admit, I also teared up during that flick. There's no shame in crying during that movie. It could melt the heart of the hardest man.","That's part of what makes it work, you see Jimmy Stewart feeling like he has to take so many responsibilities onto himself, he feels like he has to the man for everybody else.","You really do see him doing so much for his family in that movie. Gift of The Magi is another Christmas movie I enjoy, where the main characters try really hard to provide for each other but can't seem to.","Yeah, older Christmas stories seem to have a warmer human element, modern ones just don't strike the same chord with me, even when they're trying to be heartwarming.",
Answer.positive,Answer.elaboration,Answer.change,Answer.continuation,,"I cry every time I see ""It's a Wonderful Life"" even in front of my kids.","I've got to admit, I also teared up during that flick. There's no shame in crying during that movie. It could melt the heart of the hardest man.","That's part of what makes it work, you see Jimmy Stewart feeling like he has to take so many responsibilities onto himself, he feels like he has to the man for everybody else.","You really do see him doing so much for his family in that movie. Gift of The Magi is another Christmas movie I enjoy, where the main characters try really hard to provide for each other but can't seem to.","I've never seen the movie of Gift of the Magi, but I'm pretty sure we read the short story in English class once.",
Answer.positive,Answer.continuation,Answer.continuation,,,"I cry every time I see ""It's a Wonderful Life"" even in front of my kids.","I've got to admit, I also teared up during that flick. There's no shame in crying during that movie. It could melt the heart of the hardest man.","Yeah, it really takes you to low lows, but then when everybody comes together at the end it really gets you.","It's like a roller coaster, you know the ups and downs are coming, but it still takes you for a ride.",,
Answer.positive,Answer.change,,,,"I cry every time I see ""It's a Wonderful Life"" even in front of my kids.","I've got to admit, I also teared up during that flick. There's no shame in crying during that movie. It could melt the heart of the hardest man.",I like a lot of old Jimmy Stewart movies. Have you seen Rope?,,,
Answer.positive,Answer.change,Answer.joking_sarcastic,Answer.joking_sarcastic,,"I cry every time I see ""It's a Wonderful Life"" even in front of my kids.",It's good for kids to see that adults have a whole range of emotions.,"I wish there were more dramatic movies I could watch with my kids, but I'm not comfortable exposing them to a lot of sex or violence.","Probably nothing they don't hear at school, though.","Yeah, the walls of those classrooms are so thin, I don't know how they can learn math over all the racket.",
Answer.positive,Answer.change,Answer.joking_sarcastic,,,"I cry every time I see ""It's a Wonderful Life"" even in front of my kids.",It's good for kids to see that adults have a whole range of emotions.,"I wish there were more dramatic movies I could watch with my kids, but I'm not comfortable exposing them to a lot of sex or violence.","Probably nothing they don't hear at school, though.",,
Answer.positive,Answer.continuation,Answer.continuation,Answer.elaboration,,"I cry every time I see ""It's a Wonderful Life"" even in front of my kids.",It's good for kids to see that adults have a whole range of emotions.,"I guess that's true, to understand that it's OK to feel how they feel, and not bottle everything up.",It is good that children see that emotions are not off limits,"I guess so. But it's hard to let go of the instinct to think it's my job to keep them from being upset, like when they were babies.",
Answer.positive,Answer.change,Answer.elaboration,Answer.change,,"I cry every time I see ""It's a Wonderful Life"" even in front of my kids.",It's good for kids to see that adults have a whole range of emotions.,"I wish there were more dramatic movies I could watch with my kids, but I'm not comfortable exposing them to a lot of sex or violence.",We tried to watch a cartoon last week and it was so crass!,"What I do like is nature documentaries. Those are pretty wholesome and the kids seem to find them interesting enough to sit still through, plus we learn things.",
Answer.positive,Answer.elaboration,Answer.continuation,,,"I cry every time I see ""It's a Wonderful Life"" even in front of my kids.",It's good for kids to see that adults have a whole range of emotions.,"Yeah, that makes sense, it's easy to think that everything for kids should be fun and happy, but I guess they also need to learn that there's other parts of being a grown up.","Yeah. It's also good for kids to learn that it's valuable to be able to explore powerful emotions in fiction, it's not all about spectacle or crazy stories.",,
Answer.positive,Answer.joking_sarcastic,Answer.continuation,Answer.continuation,,"I cry every time I see ""It's a Wonderful Life"" even in front of my kids.",It's good for kids to see that adults have a whole range of emotions.,"Plus, if they're watching the movie along with me, they can learn about how adults sometimes need to go on angry, drunken tirades. It's educational, really.",Seriously though you could always use it as a chance to talk about the stupid things we do when we've had too much to drink.,"Yeah, that's true. George gets a little angry and mean, but he doesn't turn into an over-the-top monster, so it's relatable.",
Answer.positive,Answer.continuation,,,,"I cry every time I see ""It's a Wonderful Life"" even in front of my kids.",It's good for kids to see that adults have a whole range of emotions.,"I guess that's true, to understand that it's OK to feel how they feel, and not bottle everything up.",,,
Answer.positive,Answer.joking_sarcastic,,,,"I cry every time I see ""It's a Wonderful Life"" even in front of my kids.",It's good for kids to see that adults have a whole range of emotions.,"Plus, if they're watching the movie along with me, they can learn about how adults sometimes need to go on angry, drunken tirades. It's educational, really.",,,
Answer.positive,Answer.elaboration,Answer.change,,,"I cry every time I see ""It's a Wonderful Life"" even in front of my kids.",It's good for kids to see that adults have a whole range of emotions.,"Yeah, that makes sense, it's easy to think that everything for kids should be fun and happy, but I guess they also need to learn that there's other parts of being a grown up.","It's also nice when adults can capture some of the wonder and joy of childhood again, that's what I love about movies like Harry Potter.",,
